work_order_number,sales_order_number,sales_order_line,work_unit_name,work_unit_description,unit_type,work_unit_qty,item_rate,total_rate
WO-35000000,SO-900000,SOL-1500000,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000000,SO-900000,SOL-1500001,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000000,SO-900000,SOL-1500002,ACA00A-ESE22,Aerial cable design footage,Foot,421,0.36,151.56
WO-35000000,SO-900000,SOL-1500003,ACA02A-ESE22,Buried cable design footage,Foot,1184,0.27,319.68
WO-35000000,SO-900000,SOL-1500004,POL00A-ESE22,Pole loading analysis,Pole,8,22.5,180.0
WO-35000001,SO-900001,SOL-1500005,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000001,SO-900001,SOL-1500006,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000001,SO-900001,SOL-1500007,ACA02A-ESE22,Buried cable design footage,Foot,1106,0.27,298.62
WO-35000001,SO-900001,SOL-1500008,PRM00A-ESE22,Permit package,Each,2,145.0,290.0
WO-35000001,SO-900001,SOL-1500009,FQC00A-ESE22,Field quality control,Each,1,65.0,65.0
WO-35000002,SO-900002,SOL-1500010,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000002,SO-900002,SOL-1500011,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000002,SO-900002,SOL-1500012,ACA02A-ESE22,Buried cable design footage,Foot,1133,0.27,305.91
WO-35000002,SO-900002,SOL-1500013,FQC00A-ESE22,Field quality control,Each,1,65.0,65.0
WO-35000003,SO-900003,SOL-1500014,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000003,SO-900003,SOL-1500015,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000003,SO-900003,SOL-1500016,ACA00A-ESE22,Aerial cable design footage,Foot,856,0.36,308.16
WO-35000003,SO-900003,SOL-1500017,ACA02A-ESE22,Buried cable design footage,Foot,1277,0.27,344.79
WO-35000003,SO-900003,SOL-1500018,POL00A-ESE22,Pole loading analysis,Pole,2,22.5,45.0
WO-35000004,SO-900004,SOL-1500019,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000004,SO-900004,SOL-1500020,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000004,SO-900004,SOL-1500021,ACA00A-ESE22,Aerial cable design footage,Foot,546,0.36,196.56
WO-35000004,SO-900004,SOL-1500022,ACA02A-ESE22,Buried cable design footage,Foot,713,0.27,192.51
WO-35000004,SO-900004,SOL-1500023,POL00A-ESE22,Pole loading analysis,Pole,17,22.5,382.5
WO-35000005,SO-900005,SOL-1500024,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000005,SO-900005,SOL-1500025,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000005,SO-900005,SOL-1500026,ACA00A-ESE22,Aerial cable design footage,Foot,1363,0.36,490.68
WO-35000005,SO-900005,SOL-1500027,ACA02A-ESE22,Buried cable design footage,Foot,921,0.27,248.67
WO-35000005,SO-900005,SOL-1500028,POL00A-ESE22,Pole loading analysis,Pole,12,22.5,270.0
WO-35000005,SO-900005,SOL-1500029,PRM00A-ESE22,Permit package,Each,3,145.0,435.0
WO-35000006,SO-900006,SOL-1500030,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000006,SO-900006,SOL-1500031,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000006,SO-900006,SOL-1500032,ACA00A-ESE22,Aerial cable design footage,Foot,421,0.36,151.56
WO-35000006,SO-900006,SOL-1500033,ACA02A-ESE22,Buried cable design footage,Foot,770,0.27,207.9
WO-35000006,SO-900006,SOL-1500034,POL00A-ESE22,Pole loading analysis,Pole,6,22.5,135.0
WO-35000006,SO-900006,SOL-1500035,PRM00A-ESE22,Permit package,Each,2,145.0,290.0
WO-35000006,SO-900006,SOL-1500036,FQC00A-ESE22,Field quality control,Each,1,65.0,65.0
WO-35000007,SO-900007,SOL-1500037,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000007,SO-900007,SOL-1500038,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000007,SO-900007,SOL-1500039,ACA00A-ESE22,Aerial cable design footage,Foot,668,0.36,240.48
WO-35000007,SO-900007,SOL-1500040,ACA02A-ESE22,Buried cable design footage,Foot,508,0.27,137.16
WO-35000007,SO-900007,SOL-1500041,POL00A-ESE22,Pole loading analysis,Pole,4,22.5,90.0
WO-35000008,SO-900008,SOL-1500042,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000008,SO-900008,SOL-1500043,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000008,SO-900008,SOL-1500044,ACA02A-ESE22,Buried cable design footage,Foot,169,0.27,45.63
WO-35000009,SO-900009,SOL-1500045,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000009,SO-900009,SOL-1500046,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000009,SO-900009,SOL-1500047,ACA00A-ESE22,Aerial cable design footage,Foot,1342,0.36,483.12
WO-35000009,SO-900009,SOL-1500048,POL00A-ESE22,Pole loading analysis,Pole,9,22.5,202.5
WO-35000009,SO-900009,SOL-1500049,PRM00A-ESE22,Permit package,Each,3,145.0,435.0
WO-35000010,SO-900010,SOL-1500050,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000010,SO-900010,SOL-1500051,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000010,SO-900010,SOL-1500052,PRM00A-ESE22,Permit package,Each,2,145.0,290.0
WO-35000010,SO-900010,SOL-1500053,FQC00A-ESE22,Field quality control,Each,2,65.0,130.0
WO-35000011,SO-900011,SOL-1500054,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000011,SO-900011,SOL-1500055,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000011,SO-900011,SOL-1500056,ACA00A-ESE22,Aerial cable design footage,Foot,1098,0.36,395.28
WO-35000011,SO-900011,SOL-1500057,POL00A-ESE22,Pole loading analysis,Pole,14,22.5,315.0
WO-35000012,SO-900012,SOL-1500058,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000012,SO-900012,SOL-1500059,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000012,SO-900012,SOL-1500060,ACA00A-ESE22,Aerial cable design footage,Foot,1170,0.36,421.2
WO-35000012,SO-900012,SOL-1500061,POL00A-ESE22,Pole loading analysis,Pole,11,22.5,247.5
WO-35000013,SO-900013,SOL-1500062,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000013,SO-900013,SOL-1500063,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000013,SO-900013,SOL-1500064,ACA00A-ESE22,Aerial cable design footage,Foot,1188,0.36,427.68
WO-35000013,SO-900013,SOL-1500065,ACA02A-ESE22,Buried cable design footage,Foot,1135,0.27,306.45
WO-35000013,SO-900013,SOL-1500066,PRM00A-ESE22,Permit package,Each,1,145.0,145.0
WO-35000014,SO-900014,SOL-1500067,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000014,SO-900014,SOL-1500068,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000014,SO-900014,SOL-1500069,ACA02A-ESE22,Buried cable design footage,Foot,516,0.27,139.32
WO-35000014,SO-900014,SOL-1500070,FQC00A-ESE22,Field quality control,Each,2,65.0,130.0
WO-35000015,SO-900015,SOL-1500071,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000015,SO-900015,SOL-1500072,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000015,SO-900015,SOL-1500073,ACA00A-ESE22,Aerial cable design footage,Foot,1178,0.36,424.08
WO-35000015,SO-900015,SOL-1500074,ACA02A-ESE22,Buried cable design footage,Foot,1380,0.27,372.6
WO-35000015,SO-900015,SOL-1500075,POL00A-ESE22,Pole loading analysis,Pole,8,22.5,180.0
WO-35000016,SO-900016,SOL-1500076,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000016,SO-900016,SOL-1500077,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000016,SO-900016,SOL-1500078,PRM00A-ESE22,Permit package,Each,2,145.0,290.0
WO-35000017,SO-900017,SOL-1500079,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000017,SO-900017,SOL-1500080,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
